Dataset,kNN,DWkNN,DTree,NBayes,SVM,MLP
Ecoli,0.6940174120173551,0.7645471311370098,0.640523413710833,0.493051547406706,0.7506053466830475,0.6916101729066171
Glass,0.7135911947529594,0.8025092069952751,0.9519649122807017,0.7858241304275361,0.8370122851005204,0.8668026048026048
Haberman,0.5307461165800709,0.5434585101461108,0.596183680450322,0.570932825275128,0.542005615241848,0.5740048921021564
Ionosphere,0.79927527741536,0.802526155523917,0.8612008960592931,0.8622193679791593,0.9428707882391778,0.9037314315638538
Iris,0.9543523143523144,0.9727798127798127,0.953131313131313,0.9460450660450661,0.962236282236282,0.9347471047471048
Pima,0.6981061195351199,0.692721243649764,0.6867038741631932,0.7195059258447182,0.7042573152829609,0.7086636229297125
Sonar,0.789658630837174,0.7840928309671957,0.6815313698946432,0.6726065041993499,0.8652355561549587,0.8055439752636548
Thyroid,0.866462789048996,0.9035623634685501,0.9278958180992849,0.9515692049474029,0.9348689637310328,0.9484099343795303
Vehicle,0.7145578292383121,0.7053705400387922,0.6692454392358081,0.430788004092536,0.8268467159481435,0.833366475205416
WDBC,0.9646147690673953,0.9633081966929564,0.9226985983847451,0.912898952535647,0.9732881956379732,0.9620310955570979
Wine,0.9627487980429157,0.963033698327816,0.8742104824999561,0.9641864018334607,0.9828168162533487,0.9619641796112383
